,title,price,link
10,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, Thin and Light Laptop, 15.6"" (39.62 cm) FHD, (8 GB RAM/512GB SSD/Windows11/Office 2021/Backlit/42WHr/Silver/1.70 kg), X1502ZA-EJ524WS  ","44,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Backlit-X1502ZA-EJ524WS/dp/B0CCP83BK2/ref=sr_1_96?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-96
11,"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021 Pro Plus  ","41,990",https://amazon.in//Lenovo-Intel-Core-12th-1235U/dp/B0DJCNMC4C/ref=sr_1_97?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-97
12,"Lenovo V15 Gen 4 Laptop, 15.6"" FHD Display, AMD Ryzen 3 7320U Processor, RJ-45, USB-C, HDMI, Windows 11 Pro with MS-Office (8GB LPDDR5 RAM 5500 MHz | 512GB PCIe SSD), Silver, 1 Year Brand Warranty  ","27,990",https://amazon.in//Lenovo-Display-Processor-MS-Office-Warranty/dp/B0CQZ72T7H/ref=sr_1_98?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-98
13,"Apple 2024 MacBook Air 13â€³ Laptop with M3 chip: 34.46 cm (13.6â€³) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver  ","1,39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNTA1NzA1MzgzOTg5MDA4OjE3Mjk1MzU0MzI6c3BfbXRmOjMwMDM1MDY5ODMxMjkzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX237H3B%2Fref%3Dsr_1_28_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.1W0buun-v-75B7EFlMS2z2Mb57dCNKrFj-KeoUBwvefOC_6umSWQja5-wpc93c1y7hlljv2MvsrsJMa5ozEEdKmWEoxM1btIqLpPTAmd3EOkLC9i5ZKE5d590K8dvueC22rfivQcmHaJ5NfL7qn4rsSDxf-eDFDxcvEQvmlIYVA5w4TAUTGBKy3xzcwbxaO9HnIV0LmPLcZ_h5m9BTA2KOrXoV3tkVC2scc5FPWKoBs._GEvncubdewqhR7Qn2TOMWC6ldMgwhpdvcTGpSrOZ7k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535432%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/DOS/Iron Grey/1.65 Kg)  ","38,999",https://amazon.in//Lenovo-Ryzen-39-62cm-Antiglare-Laptop/dp/B0D39BVJ7Y/ref=sr_1_99?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-99
15,"Acer One 14 Business Laptop AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 with 35.56 cm (14.0"") HD Display  ","22,780",https://amazon.in//Acer-Business-Processor-Graphics-Z2-493/dp/B0B42QJMJP/ref=sr_1_100?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-100
16,"Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 7 155H (14-inch OLED WQXGA+/16GB LPDDR5X/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO) SFG14-73, Pure Silver, 1.3 Kg  ","89,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODgyODcwODY2MDgwNTQ6MTcyOTUzNTQ2NzpzcF9idGY6MzAwMjAxNjQxOTAwMzMyOjowOjo&url=%2FAcer-Premium-14-inch-Graphics-SFG14-73%2Fdp%2FB0CYHGB3KJ%2Fref%3Dsr_1_101_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535467%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-101-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
17,"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 16"" (40.64cm) WUXGA-IPS 300Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/100%sRGB/MSO/1Yr ADP Free/3 month Game Pass/Grey/1.8Kg), 83DC007LIN  ","75,190",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODgyODcwODY2MDgwNTQ6MTcyOTUzNTQ2NzpzcF9idGY6MzAwMzQxOTY3ODEwNTMyOjowOjo&url=%2FLenovo-IdeaPad-WUXGA-IPS-100-sRGB-83DC007LIN%2Fdp%2FB0DFQ31CD4%2Fref%3Dsr_1_102_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535467%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-102-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
18,"ASUS Zenbook 14, Intel Core Ultra 5, 14"" 3K OLED 16:10 120 Hz, Thin & Light Laptop, Built-in AI (16GB RAM/1 TB//Win 11/Office 2021/Backlit/Touchscreen/75WHr /Ponder Blue/1.28 Kg), UX3405MA-PZ552WS  ","1,07,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNjQ2Njc2MTQxOTE1MzMxOjE3Mjk1MzU0NzQ6c3BfYXRmX25leHQ6MzAwMjUwODI4Njk4MjMyOjowOjo&url=%2FASUS-Zenbook-Intel-Ultra-Built%2Fdp%2FB0D89NT6VZ%2Fref%3Dsr_1_97_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.Q2dmYQ8bNxU4xZzASqCI27Y0MbnBZnCSUm8moPwkdgmdx6KtEq1RuH5yW24_mrz14go0ylMqGAVFwUEOyfRTneI3avoVoOSZZWcvjbFiTLOeIVh4u9g946A3IFXCCc5OLRy5x9Y2Y9Jm50KLtGeVCah7al1P5MVxWt92gBaOGC7eGZCLDqwmn58wNO3WXJdeX1MTIViXhQMyqQNaakrBYcQGjlDwXSAPbWYLHfSkkZg.GHVpOFNLYgAUnX6AQffbzrCfcAFP7_-vh_RmZ06t7hE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535474%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
19,"Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 5 125H (14-inch OLED WQXGA+/16GB LPDDR5X/512GB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO) SFG14-73, Pure Silver, 1.3 Kg  ","74,999",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNjQ2Njc2MTQxOTE1MzMxOjE3Mjk1MzU0NzQ6c3BfYXRmX25leHQ6MzAwMzQxOTY3ODEwNjMyOjowOjo&url=%2FAcer-Premium-14-inch-Graphics-SFG14-73%2Fdp%2FB0DC6DV319%2Fref%3Dsr_1_98_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.Q2dmYQ8bNxU4xZzASqCI27Y0MbnBZnCSUm8moPwkdgmdx6KtEq1RuH5yW24_mrz14go0ylMqGAVFwUEOyfRTneI3avoVoOSZZWcvjbFiTLOeIVh4u9g946A3IFXCCc5OLRy5x9Y2Y9Jm50KLtGeVCah7al1P5MVxWt92gBaOGC7eGZCLDqwmn58wNO3WXJdeX1MTIViXhQMyqQNaakrBYcQGjlDwXSAPbWYLHfSkkZg.GHVpOFNLYgAUnX6AQffbzrCfcAFP7_-vh_RmZ06t7hE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535474%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
